Round,Retry Index,Algorithm,Attention Mechanism,Learning Rate,Gamma,Model File,Training File,Test File,Self-eval,Tool Usage %,Lambda,Threshold Violations,T_wt,t_FR,Eval_Score
1,1,REINFORCE,None,0.001,0.99,REINFORCE_SIT_11_1000_1e-03_99_12-07-13-04,SIT_11,SIT_12,N,51.23620356542088,400,12,388,,0.2715656332117198
1,1,REINFORCE,None,0.001,0.99,REINFORCE_SIT_11_1000_1e-03_99_12-07-13-04,SIT_11,SIT_13,N,51.23620356542088,400,35,365,,0.26173657338265993
1,1,REINFORCE,None,0.001,0.99,REINFORCE_SIT_11_1000_1e-03_99_12-07-13-04,SIT_11,SIT_14,N,51.23620356542088,400,19,381,,0.2661810178271044
1,1,REINFORCE,None,0.001,0.99,REINFORCE_SIT_11_1000_1e-03_99_12-07-13-04,SIT_11,SIT_15,N,51.23620356542088,400,24,376,,0.2641810178271044
1,1,REINFORCE,None,0.001,0.99,REINFORCE_SIT_11_1000_1e-03_99_12-07-13-04,SIT_11,SIT_16,N,51.23620356542088,400,11,389,,0.27284768449377106
1,1,REINFORCE,None,0.001,0.99,REINFORCE_SIT_11_1000_1e-03_99_12-07-13-04,SIT_11,SIT_20,N,51.23620356542088,400,13,387,,0.2704667321128187
1,3,A2C,None,0.001,0.99,A2C_SIT_12_1000_1e-03_99_12-07-13-04,SIT_12,SIT_7,N,46.73836866760763,400,43,357,,0.2382372978834927
1,3,A2C,None,0.001,0.99,A2C_SIT_12_1000_1e-03_99_12-07-13-04,SIT_12,SIT_8,N,46.73836866760763,400,12,388,,0.24907645872265355
1,3,A2C,None,0.001,0.99,A2C_SIT_12_1000_1e-03_99_12-07-13-04,SIT_12,SIT_10,N,46.73836866760763,400,13,387,,0.24797755762375245
1,3,A2C,None,0.001,0.99,A2C_SIT_12_1000_1e-03_99_12-07-13-04,SIT_12,SIT_11,N,46.73836866760763,400,12,388,,0.24907645872265355
1,3,A2C,None,0.001,0.99,A2C_SIT_12_1000_1e-03_99_12-07-13-04,SIT_12,SIT_13,N,46.73836866760763,400,35,365,,0.23924739889359373
1,3,A2C,None,0.001,0.99,A2C_SIT_12_1000_1e-03_99_12-07-13-04,SIT_12,SIT_14,N,46.73836866760763,400,19,381,,0.24369184333803817
1,3,A2C,None,0.001,0.99,A2C_SIT_12_1000_1e-03_99_12-07-13-04,SIT_12,SIT_15,N,46.73836866760763,400,24,376,,0.24169184333803817
1,3,A2C,None,0.001,0.99,A2C_SIT_12_1000_1e-03_99_12-07-13-04,SIT_12,SIT_16,N,46.73836866760763,400,11,389,,0.2503585100047048
1,3,A2C,None,0.001,0.99,A2C_SIT_12_1000_1e-03_99_12-07-13-04,SIT_12,SIT_20,N,46.73836866760763,400,13,387,,0.24797755762375245
1,3,DQN,None,0.001,0.99,DQN_SIT_12_1000_1e-03_99_12-07-13-04,SIT_12,SIT_7,N,46.73836866760763,400,43,357,,0.2382372978834927
1,3,DQN,None,0.001,0.99,DQN_SIT_12_1000_1e-03_99_12-07-13-04,SIT_12,SIT_8,N,46.73836866760763,400,12,388,,0.24907645872265355
1,3,DQN,None,0.001,0.99,DQN_SIT_12_1000_1e-03_99_12-07-13-04,SIT_12,SIT_10,N,46.73836866760763,400,13,387,,0.24797755762375245
1,3,DQN,None,0.001,0.99,DQN_SIT_12_1000_1e-03_99_12-07-13-04,SIT_12,SIT_11,N,46.73836866760763,400,12,388,,0.24907645872265355
1,3,DQN,None,0.001,0.99,DQN_SIT_12_1000_1e-03_99_12-07-13-04,SIT_12,SIT_13,N,46.73836866760763,400,35,365,,0.23924739889359373
