Round,Retry Index,Algorithm,Attention Mechanism,Learning Rate,Gamma,Model File,Training File,Test File,Self-eval,Tool Usage %,Lambda,Threshold Violations,T_wt,t_FR,Eval_Score
1,1,DQN,None,0.1,0.99,DQN_IEEE_04_1000_1e-01_99_17-07-21-21,IEEE_04,IEEE_01,N,97.125249,-216,0,874,830,0.658257824
1,3,DQN,None,0.1,0.99,DQN_IEEE_04_1000_1e-01_99_17-07-21-21,IEEE_04,IEEE_03,N,46.73836867,901,37,864,,0.238955001
1,1,DQN,None,0.1,0.99,DQN_IEEE_04_1000_1e-01_99_17-07-21-21,IEEE_04,IEEE_06,N,95.329766,-41,0,845,809,0.833490935
1,1,DQN,None,0.1,0.99,DQN_IEEE_04_1000_1e-01_99_17-07-21-21,IEEE_04,IEEE_08,N,95.94679749,-293,0,850,707,0.579733987
1,1,PPO,None,0.1,0.99,PPO_IEEE_04_1000_1e-01_99_17-07-21-21,IEEE_04,IEEE_01,N,95.0067,-179,0,874,793,0.686612447
1,1,PPO,None,0.1,0.99,PPO_IEEE_04_1000_1e-01_99_17-07-21-21,IEEE_04,IEEE_03,N,95.54028649,-21,0,864,852,0.855596169
1,1,PPO,None,0.1,0.99,PPO_IEEE_04_1000_1e-01_99_17-07-21-21,IEEE_04,IEEE_06,N,95.329766,-39,0,845,807,0.835596198
1,1,PPO,None,0.1,0.99,PPO_IEEE_04_1000_1e-01_99_17-07-21-21,IEEE_04,IEEE_08,N,95.00985633,-149,0,850,563,0.718207176
1,1,REINFORCE,None,0.1,0.99,REINFORCE_IEEE_04_1000_1e-01_99_17-07-21-21,IEEE_04,IEEE_01,N,95.0067,-180,0,874,794,0.685559816
1,1,REINFORCE,None,0.1,0.99,REINFORCE_IEEE_04_1000_1e-01_99_17-07-21-21,IEEE_04,IEEE_03,N,99.9970964,-32,0,864,863,0.866301271
1,1,REINFORCE,None,0.1,0.99,REINFORCE_IEEE_04_1000_1e-01_99_17-07-21-21,IEEE_04,IEEE_06,N,95.329766,-40,0,845,808,0.834543567
1,1,REINFORCE,None,0.1,0.99,REINFORCE_IEEE_04_1000_1e-01_99_17-07-21-21,IEEE_04,IEEE_08,N,95.45982472,-160,0,850,574,0.708878071
1,1,A2C,None,0.1,0.99,A2C_IEEE_06_1000_1e-01_99_17-07-21-21,IEEE_06,IEEE_01,N,97.125249,-216,0,874,830,0.658257824
1,3,A2C,None,0.1,0.99,A2C_IEEE_06_1000_1e-01_99_17-07-21-21,IEEE_06,IEEE_03,N,46.73836867,901,37,864,,0.238955001
1,1,A2C,None,0.1,0.99,A2C_IEEE_06_1000_1e-01_99_17-07-21-21,IEEE_06,IEEE_04,N,95.241374,-39,0,922,887,0.835154238
1,3,A2C,None,0.1,0.99,A2C_IEEE_06_1000_1e-01_99_17-07-21-21,IEEE_06,IEEE_08,N,46.73836867,1008,158,850,,0.234949705
1,1,DQN,None,0.1,0.99,DQN_IEEE_06_1000_1e-01_99_17-07-21-21,IEEE_06,IEEE_01,N,95.0067,-180,0,874,794,0.685559816
1,1,DQN,None,0.1,0.99,DQN_IEEE_06_1000_1e-01_99_17-07-21-21,IEEE_06,IEEE_03,N,95.24978313,-20,0,864,851,0.855196284
1,1,DQN,None,0.1,0.99,DQN_IEEE_06_1000_1e-01_99_17-07-21-21,IEEE_06,IEEE_04,N,95.241374,-40,0,922,888,0.834101607
1,1,DQN,None,0.1,0.99,DQN_IEEE_06_1000_1e-01_99_17-07-21-21,IEEE_06,IEEE_08,N,95.05450863,-150,0,850,564,0.717377806
1,1,PPO,None,0.1,0.99,PPO_IEEE_06_1000_1e-01_99_17-07-21-21,IEEE_06,IEEE_01,N,95.0067,-178,0,874,792,0.687665079
1,1,PPO,None,0.1,0.99,PPO_IEEE_06_1000_1e-01_99_17-07-21-21,IEEE_06,IEEE_03,N,95.24978313,-20,0,864,851,0.855196284
1,1,PPO,None,0.1,0.99,PPO_IEEE_06_1000_1e-01_99_17-07-21-21,IEEE_06,IEEE_04,N,95.241374,-40,0,922,888,0.834101607
1,1,PPO,None,0.1,0.99,PPO_IEEE_06_1000_1e-01_99_17-07-21-21,IEEE_06,IEEE_08,N,95.00985633,-149,0,850,563,0.718207176
1,1,REINFORCE,None,0.1,0.99,REINFORCE_IEEE_06_1000_1e-01_99_17-07-21-21,IEEE_06,IEEE_01,N,95.42167333,-189,0,874,803,0.678160998
1,1,REINFORCE,None,0.1,0.99,REINFORCE_IEEE_06_1000_1e-01_99_17-07-21-21,IEEE_06,IEEE_03,N,51.23620357,901,37,864,,0.261444176
1,1,REINFORCE,None,0.1,0.99,REINFORCE_IEEE_06_1000_1e-01_99_17-07-21-21,IEEE_06,IEEE_04,N,95.241374,-38,0,922,886,0.83620687
1,1,REINFORCE,None,0.1,0.99,REINFORCE_IEEE_06_1000_1e-01_99_17-07-21-21,IEEE_06,IEEE_08,N,95.94679749,-215,0,850,629,0.653418198
1,1,A2C,None,0.1,0.99,A2C_IEEE_08_1000_1e-01_99_17-07-21-21,IEEE_08,IEEE_01,N,95.0067,-178,0,874,792,0.687665079
1,1,A2C,None,0.1,0.99,A2C_IEEE_08_1000_1e-01_99_17-07-21-21,IEEE_08,IEEE_03,N,95.24978313,-20,0,864,851,0.855196284
1,1,A2C,None,0.1,0.99,A2C_IEEE_08_1000_1e-01_99_17-07-21-21,IEEE_08,IEEE_04,N,95.241374,-39,0,922,887,0.835154238
1,1,A2C,None,0.1,0.99,A2C_IEEE_08_1000_1e-01_99_17-07-21-21,IEEE_08,IEEE_06,N,95.329766,-41,0,845,809,0.833490935
1,1,DQN,None,0.1,0.99,DQN_IEEE_08_1000_1e-01_99_17-07-21-21,IEEE_08,IEEE_01,N,97.125249,-214,0,874,828,0.660363087
1,3,DQN,None,0.1,0.99,DQN_IEEE_08_1000_1e-01_99_17-07-21-21,IEEE_08,IEEE_03,N,46.73836867,901,37,864,,0.238955001
1,1,DQN,None,0.1,0.99,DQN_IEEE_08_1000_1e-01_99_17-07-21-21,IEEE_08,IEEE_04,N,95.241374,-38,0,922,886,0.83620687
1,1,DQN,None,0.1,0.99,DQN_IEEE_08_1000_1e-01_99_17-07-21-21,IEEE_08,IEEE_06,N,95.329766,-39,0,845,807,0.835596198
1,1,PPO,None,0.1,0.99,PPO_IEEE_08_1000_1e-01_99_17-07-21-21,IEEE_08,IEEE_01,N,96.48591533,-204,0,874,818,0.667692735
1,1,PPO,None,0.1,0.99,PPO_IEEE_08_1000_1e-01_99_17-07-21-21,IEEE_08,IEEE_03,N,98.02794572,-28,0,864,859,0.860666044
1,1,PPO,None,0.1,0.99,PPO_IEEE_08_1000_1e-01_99_17-07-21-21,IEEE_08,IEEE_04,N,95.241374,-38,0,922,886,0.83620687
1,1,PPO,None,0.1,0.99,PPO_IEEE_08_1000_1e-01_99_17-07-21-21,IEEE_08,IEEE_06,N,95.329766,-39,0,845,807,0.835596198
1,1,REINFORCE,None,0.1,0.99,REINFORCE_IEEE_08_1000_1e-01_99_17-07-21-21,IEEE_08,IEEE_01,N,95.63402533,-193,0,874,807,0.675012232
1,1,REINFORCE,None,0.1,0.99,REINFORCE_IEEE_08_1000_1e-01_99_17-07-21-21,IEEE_08,IEEE_03,N,51.23620357,901,37,864,,0.261444176
1,1,REINFORCE,None,0.1,0.99,REINFORCE_IEEE_08_1000_1e-01_99_17-07-21-21,IEEE_08,IEEE_04,N,95.68023733,-42,0,922,890,0.83419066
1,1,REINFORCE,None,0.1,0.99,REINFORCE_IEEE_08_1000_1e-01_99_17-07-21-21,IEEE_08,IEEE_06,N,95.329766,-39,0,845,807,0.835596198
