Round,Retry Index,Algorithm,Attention Mechanism,Learning Rate,Gamma,Model File,Training File,Test File,Self-eval,Tool Usage %,Lambda,Threshold Violations,T_wt,t_FR,Eval_Score
1,3,DQN,Self-Attention,0.001,0.99,DQN_SA_IEEE_01_1000_1e-03_99_08-07-18-48,IEEE_01,IEEE_03,N,46.73836866760763,901,37,864,,0.238955001232775
1,3,DQN,Self-Attention,0.001,0.99,DQN_SA_IEEE_01_1000_1e-03_99_08-07-18-48,IEEE_01,IEEE_04,N,46.73836866760763,1008,86,922,,0.2359906939127508
1,3,DQN,Self-Attention,0.001,0.99,DQN_SA_IEEE_01_1000_1e-03_99_08-07-18-48,IEEE_01,IEEE_06,N,46.73836866760763,1020,175,845,,0.2348282069744018
1,3,DQN,Self-Attention,0.001,0.99,DQN_SA_IEEE_01_1000_1e-03_99_08-07-18-48,IEEE_01,IEEE_08,N,46.73836866760763,1008,158,850,,0.2349497049732583
1,3,DQN,Multi-Head,0.001,0.99,DQN_MH_IEEE_01_1000_1e-03_99_08-07-18-48,IEEE_01,IEEE_01,Y,46.73836866760763,1022,148,874,,0.2350341252172328
1,3,DQN,Multi-Head,0.001,0.99,DQN_MH_IEEE_01_1000_1e-03_99_08-07-18-48,IEEE_01,IEEE_03,N,46.73836866760763,901,37,864,,0.238955001232775
1,3,DQN,Multi-Head,0.001,0.99,DQN_MH_IEEE_01_1000_1e-03_99_08-07-18-48,IEEE_01,IEEE_04,N,46.73836866760763,1008,86,922,,0.2359906939127508
1,3,DQN,Multi-Head,0.001,0.99,DQN_MH_IEEE_01_1000_1e-03_99_08-07-18-48,IEEE_01,IEEE_06,N,46.73836866760763,1020,175,845,,0.2348282069744018
1,3,DQN,Multi-Head,0.001,0.99,DQN_MH_IEEE_01_1000_1e-03_99_08-07-18-48,IEEE_01,IEEE_08,N,46.73836866760763,1008,158,850,,0.2349497049732583
1,1,PPO,Nadaraya-Watson,0.001,0.99,PPO_NW_IEEE_01_1000_1e-03_99_08-07-18-48,IEEE_01,IEEE_01,Y,97.76265366666667,-225,0,874,839.0,0.7519711630701755
1,1,PPO,Nadaraya-Watson,0.001,0.99,PPO_NW_IEEE_01_1000_1e-03_99_08-07-18-48,IEEE_01,IEEE_03,N,51.23620356542088,901,37,864,,0.26144417572184125
1,1,PPO,Nadaraya-Watson,0.001,0.99,PPO_NW_IEEE_01_1000_1e-03_99_08-07-18-48,IEEE_01,IEEE_04,N,95.241374,-38,0,922,886.0,0.9362068699999999
1,1,PPO,Nadaraya-Watson,0.001,0.99,PPO_NW_IEEE_01_1000_1e-03_99_08-07-18-48,IEEE_01,IEEE_06,N,95.329766,-41,0,845,809.0,0.933490935263158
1,1,PPO,Nadaraya-Watson,0.001,0.99,PPO_NW_IEEE_01_1000_1e-03_99_08-07-18-48,IEEE_01,IEEE_08,N,51.23620356542088,1008,158,850,,0.2574388794623245
1,1,PPO,Temporal,0.001,0.99,PPO_TP_IEEE_01_1000_1e-03_99_08-07-18-48,IEEE_01,IEEE_01,Y,51.23620356542088,1022,148,874,,0.257523299706299
1,1,PPO,Temporal,0.001,0.99,PPO_TP_IEEE_01_1000_1e-03_99_08-07-18-48,IEEE_01,IEEE_03,N,51.23620356542088,901,37,864,,0.26144417572184125
1,1,PPO,Temporal,0.001,0.99,PPO_TP_IEEE_01_1000_1e-03_99_08-07-18-48,IEEE_01,IEEE_04,N,51.23620356542088,1008,86,922,,0.258479868401817
1,1,PPO,Temporal,0.001,0.99,PPO_TP_IEEE_01_1000_1e-03_99_08-07-18-48,IEEE_01,IEEE_06,N,51.23620356542088,1020,175,845,,0.25731738146346805
1,1,PPO,Temporal,0.001,0.99,PPO_TP_IEEE_01_1000_1e-03_99_08-07-18-48,IEEE_01,IEEE_08,N,51.23620356542088,1008,158,850,,0.2574388794623245
1,1,PPO,Self-Attention,0.001,0.99,PPO_SA_IEEE_01_1000_1e-03_99_08-07-18-48,IEEE_01,IEEE_01,Y,95.0067,-180,0,874,794.0,0.7855598157894736
1,1,PPO,Self-Attention,0.001,0.99,PPO_SA_IEEE_01_1000_1e-03_99_08-07-18-48,IEEE_01,IEEE_03,N,51.23620356542088,901,37,864,,0.26144417572184125
1,1,PPO,Self-Attention,0.001,0.99,PPO_SA_IEEE_01_1000_1e-03_99_08-07-18-48,IEEE_01,IEEE_04,N,95.241374,-40,0,922,888.0,0.9341016068421051
1,1,PPO,Self-Attention,0.001,0.99,PPO_SA_IEEE_01_1000_1e-03_99_08-07-18-48,IEEE_01,IEEE_06,N,95.329766,-40,0,845,808.0,0.9345435668421052
1,1,PPO,Self-Attention,0.001,0.99,PPO_SA_IEEE_01_1000_1e-03_99_08-07-18-48,IEEE_01,IEEE_08,N,51.23620356542088,1008,158,850,,0.2574388794623245
1,1,PPO,Multi-Head,0.001,0.99,PPO_MH_IEEE_01_1000_1e-03_99_08-07-18-48,IEEE_01,IEEE_01,Y,95.0067,-178,0,874,792.0,0.7876650789473685
1,1,PPO,Multi-Head,0.001,0.99,PPO_MH_IEEE_01_1000_1e-03_99_08-07-18-48,IEEE_01,IEEE_03,N,95.24978312684365,-20,0,864,851.0,0.9551962840552708
1,1,PPO,Multi-Head,0.001,0.99,PPO_MH_IEEE_01_1000_1e-03_99_08-07-18-48,IEEE_01,IEEE_04,N,95.241374,-40,0,922,888.0,0.9341016068421051
1,1,PPO,Multi-Head,0.001,0.99,PPO_MH_IEEE_01_1000_1e-03_99_08-07-18-48,IEEE_01,IEEE_06,N,95.329766,-40,0,845,808.0,0.9345435668421052
1,1,PPO,Multi-Head,0.001,0.99,PPO_MH_IEEE_01_1000_1e-03_99_08-07-18-48,IEEE_01,IEEE_08,N,95.05450863095368,-150,0,850,564.0,0.8173778063126631
1,1,REINFORCE,Nadaraya-Watson,0.001,0.99,REINFORCE_NW_IEEE_01_1000_1e-03_99_08-07-18-48,IEEE_01,IEEE_01,Y,95.0067,-178,0,874,792.0,0.7876650789473685
1,1,REINFORCE,Nadaraya-Watson,0.001,0.99,REINFORCE_NW_IEEE_01_1000_1e-03_99_08-07-18-48,IEEE_01,IEEE_03,N,95.24978312684365,-20,0,864,851.0,0.9551962840552708
1,1,REINFORCE,Nadaraya-Watson,0.001,0.99,REINFORCE_NW_IEEE_01_1000_1e-03_99_08-07-18-48,IEEE_01,IEEE_04,N,95.241374,-39,0,922,887.0,0.9351542384210525
1,1,REINFORCE,Nadaraya-Watson,0.001,0.99,REINFORCE_NW_IEEE_01_1000_1e-03_99_08-07-18-48,IEEE_01,IEEE_06,N,95.329766,-41,0,845,809.0,0.933490935263158
1,1,REINFORCE,Nadaraya-Watson,0.001,0.99,REINFORCE_NW_IEEE_01_1000_1e-03_99_08-07-18-48,IEEE_01,IEEE_08,N,95.05450863095368,-150,0,850,564.0,0.8173778063126631
1,1,REINFORCE,Temporal,0.001,0.99,REINFORCE_TP_IEEE_01_1000_1e-03_99_08-07-18-48,IEEE_01,IEEE_01,Y,95.0067,-178,0,874,792.0,0.7876650789473685
1,1,REINFORCE,Temporal,0.001,0.99,REINFORCE_TP_IEEE_01_1000_1e-03_99_08-07-18-48,IEEE_01,IEEE_03,N,99.99709640118,-32,0,864,863.0,0.9663012714795842
1,1,REINFORCE,Temporal,0.001,0.99,REINFORCE_TP_IEEE_01_1000_1e-03_99_08-07-18-48,IEEE_01,IEEE_04,N,95.241374,-38,0,922,886.0,0.9362068699999999
1,1,REINFORCE,Temporal,0.001,0.99,REINFORCE_TP_IEEE_01_1000_1e-03_99_08-07-18-48,IEEE_01,IEEE_06,N,95.329766,-39,0,845,807.0,0.9355961984210526
1,1,REINFORCE,Temporal,0.001,0.99,REINFORCE_TP_IEEE_01_1000_1e-03_99_08-07-18-48,IEEE_01,IEEE_08,N,95.45982471689332,-160,0,850,574.0,0.8088780709528878
1,1,REINFORCE,Self-Attention,0.001,0.99,REINFORCE_SA_IEEE_01_1000_1e-03_99_08-07-18-48,IEEE_01,IEEE_01,Y,95.0067,-178,0,874,792.0,0.7876650789473685
1,1,REINFORCE,Self-Attention,0.001,0.99,REINFORCE_SA_IEEE_01_1000_1e-03_99_08-07-18-48,IEEE_01,IEEE_03,N,95.24978312684365,-20,0,864,851.0,0.9551962840552708
1,1,REINFORCE,Self-Attention,0.001,0.99,REINFORCE_SA_IEEE_01_1000_1e-03_99_08-07-18-48,IEEE_01,IEEE_04,N,95.241374,-38,0,922,886.0,0.9362068699999999
1,1,REINFORCE,Self-Attention,0.001,0.99,REINFORCE_SA_IEEE_01_1000_1e-03_99_08-07-18-48,IEEE_01,IEEE_06,N,95.329766,-39,0,845,807.0,0.9355961984210526
1,1,REINFORCE,Self-Attention,0.001,0.99,REINFORCE_SA_IEEE_01_1000_1e-03_99_08-07-18-48,IEEE_01,IEEE_08,N,95.00985632538067,-149,0,850,563.0,0.8182071763637455
1,1,REINFORCE,Multi-Head,0.001,0.99,REINFORCE_MH_IEEE_01_1000_1e-03_99_08-07-18-48,IEEE_01,IEEE_01,Y,97.33803066666667,-217,0,874,831.0,0.7582691007017544
