Round,Retry Index,Algorithm,Attention Mechanism,Learning Rate,Gamma,Model File,Training File,Test File,Self-eval,Tool Usage %,Lambda,Threshold Violations,T_wt,t_FR,Eval_Score
1,1,PPO,Nadaraya-Watson,0.001,0.99,PPO_NW_SIT_7_1000_1e-03_99_12-07-13-50,SIT_7,SIT_13,N,51.23620356542088,400,35,365,,0.26173657338265993
1,1,PPO,Nadaraya-Watson,0.001,0.99,PPO_NW_SIT_7_1000_1e-03_99_12-07-13-50,SIT_7,SIT_14,N,51.23620356542088,400,19,381,,0.2661810178271044
1,1,PPO,Nadaraya-Watson,0.001,0.99,PPO_NW_SIT_7_1000_1e-03_99_12-07-13-50,SIT_7,SIT_15,N,51.23620356542088,400,24,376,,0.2641810178271044
1,1,PPO,Nadaraya-Watson,0.001,0.99,PPO_NW_SIT_7_1000_1e-03_99_12-07-13-50,SIT_7,SIT_16,N,51.23620356542088,400,11,389,,0.27284768449377106
1,1,PPO,Nadaraya-Watson,0.001,0.99,PPO_NW_SIT_7_1000_1e-03_99_12-07-13-50,SIT_7,SIT_20,N,51.23620356542088,400,13,387,,0.2704667321128187
1,1,PPO,Temporal,0.001,0.99,PPO_TP_SIT_7_1000_1e-03_99_12-07-13-50,SIT_7,SIT_8,N,103.16333333333334,-44,0,388,388.0,0.9536842105263157
1,1,PPO,Temporal,0.001,0.99,PPO_TP_SIT_7_1000_1e-03_99_12-07-13-50,SIT_7,SIT_10,N,97.32333333333334,-37,0,387,362.0,0.9476692982456141
1,1,PPO,Temporal,0.001,0.99,PPO_TP_SIT_7_1000_1e-03_99_12-07-13-50,SIT_7,SIT_11,N,95.86333333333332,-35,0,388,366.0,0.9424745614035086
1,1,PPO,Temporal,0.001,0.99,PPO_TP_SIT_7_1000_1e-03_99_12-07-13-50,SIT_7,SIT_12,N,95.86333333333332,-36,0,388,365.0,0.9414219298245614
1,1,PPO,Temporal,0.001,0.99,PPO_TP_SIT_7_1000_1e-03_99_12-07-13-50,SIT_7,SIT_13,N,95.37666666666667,-46,0,365,343.0,0.9284622807017544
1,1,PPO,Temporal,0.001,0.99,PPO_TP_SIT_7_1000_1e-03_99_12-07-13-50,SIT_7,SIT_14,N,95.86333333333332,-19,0,381,343.0,0.9593166666666666
1,1,PPO,Temporal,0.001,0.99,PPO_TP_SIT_7_1000_1e-03_99_12-07-13-50,SIT_7,SIT_15,N,95.86333333333332,-35,0,376,341.0,0.9424745614035086
1,1,PPO,Temporal,0.001,0.99,PPO_TP_SIT_7_1000_1e-03_99_12-07-13-50,SIT_7,SIT_16,N,96.59333333333332,-52,0,389,359.0,0.9282298245614033
1,1,PPO,Temporal,0.001,0.99,PPO_TP_SIT_7_1000_1e-03_99_12-07-13-50,SIT_7,SIT_20,N,97.32333333333334,-88,0,387,350.0,0.8939850877192983
1,1,PPO,Self-Attention,0.001,0.99,PPO_SA_SIT_7_1000_1e-03_99_12-07-13-50,SIT_7,SIT_8,N,103.16333333333334,-44,0,388,388.0,0.9536842105263157
1,1,PPO,Self-Attention,0.001,0.99,PPO_SA_SIT_7_1000_1e-03_99_12-07-13-50,SIT_7,SIT_10,N,97.32333333333334,-37,0,387,362.0,0.9476692982456141
1,1,PPO,Self-Attention,0.001,0.99,PPO_SA_SIT_7_1000_1e-03_99_12-07-13-50,SIT_7,SIT_11,N,95.86333333333332,-34,0,388,365.0,0.943527192982456
1,1,PPO,Self-Attention,0.001,0.99,PPO_SA_SIT_7_1000_1e-03_99_12-07-13-50,SIT_7,SIT_12,N,95.86333333333332,-35,0,388,364.0,0.9424745614035086
1,1,PPO,Self-Attention,0.001,0.99,PPO_SA_SIT_7_1000_1e-03_99_12-07-13-50,SIT_7,SIT_13,N,95.37666666666667,-46,0,365,343.0,0.9284622807017544
1,1,PPO,Self-Attention,0.001,0.99,PPO_SA_SIT_7_1000_1e-03_99_12-07-13-50,SIT_7,SIT_14,N,95.86333333333332,-19,0,381,343.0,0.9593166666666666
1,1,PPO,Self-Attention,0.001,0.99,PPO_SA_SIT_7_1000_1e-03_99_12-07-13-50,SIT_7,SIT_15,N,95.86333333333332,-35,0,376,341.0,0.9424745614035086
1,1,PPO,Self-Attention,0.001,0.99,PPO_SA_SIT_7_1000_1e-03_99_12-07-13-50,SIT_7,SIT_16,N,96.59333333333332,-52,0,389,359.0,0.9282298245614033
1,1,PPO,Self-Attention,0.001,0.99,PPO_SA_SIT_7_1000_1e-03_99_12-07-13-50,SIT_7,SIT_20,N,97.32333333333334,-88,0,387,350.0,0.8939850877192983
1,1,PPO,Multi-Head,0.001,0.99,PPO_MH_SIT_7_1000_1e-03_99_12-07-13-50,SIT_7,SIT_8,N,103.16333333333334,-44,0,388,388.0,0.9536842105263157
1,1,PPO,Multi-Head,0.001,0.99,PPO_MH_SIT_7_1000_1e-03_99_12-07-13-50,SIT_7,SIT_10,N,97.32333333333334,-38,0,387,363.0,0.9466166666666667
1,1,PPO,Multi-Head,0.001,0.99,PPO_MH_SIT_7_1000_1e-03_99_12-07-13-50,SIT_7,SIT_11,N,95.86333333333332,-34,0,388,365.0,0.943527192982456
1,1,PPO,Multi-Head,0.001,0.99,PPO_MH_SIT_7_1000_1e-03_99_12-07-13-50,SIT_7,SIT_12,N,95.86333333333332,-36,0,388,365.0,0.9414219298245614
1,1,PPO,Multi-Head,0.001,0.99,PPO_MH_SIT_7_1000_1e-03_99_12-07-13-50,SIT_7,SIT_13,N,95.37666666666667,-46,0,365,343.0,0.9284622807017544
1,1,PPO,Multi-Head,0.001,0.99,PPO_MH_SIT_7_1000_1e-03_99_12-07-13-50,SIT_7,SIT_14,N,95.86333333333332,-19,0,381,343.0,0.9593166666666666
